name,time,settingskey,settingsvalue
MSCSettings,1698851962000000000,T01_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851964000000000,T02_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851965000000000,T03_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851966000000000,T04_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851967000000000,T05_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851969000000000,T06_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851970000000000,T07_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851971000000000,T08_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851972000000000,T09_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851974000000000,T10_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851975000000000,T11_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851976000000000,T12_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851977000000000,T13_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851979000000000,T14_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851980000000000,T15_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851981000000000,T16_GEN01_IREG_MOTOR_TEMP_MAX,119
MSCSettings,1698851985000000000,hasMSCInternet,true
MSCSettings,1698851988000000000,isInitActivated,true
MSCSettings,1698851989000000000,isMSCActivated,true
MSCSettings,1698851993000000000,onlineCheck,1
MSCSettings,1698851995000000000,turbineCountMax,16
MSCSettings,1698851999000000000,EmergencySwitchStatus,0
MSCSettings,1698852001000000000,ImdStatus,0
MSCSettings,1698852003000000000,AnemometerValueAlarm,0
MSCSettings,1698852004000000000,UsbStickCheckerPassed,0
MSCSettings,1698852005000000000,userStopSchema,13/13/13/13/13/13/13/13/13/13/13/13/13/13/13/13
MSCSettings,1698852043000000000,VPNstate,true
MSCSettings,1698853843000000000,VPNstate,false
MSCSettings,1698933163000000000,VPNstate,true
MSCSettings,1698934963000000000,VPNstate,false
MSCSettings,1698935083000000000,VPNstate,true
MSCSettings,1698936883000000000,VPNstate,false
MSCSettings,1698939780000000000,EmergencySwitchStatus,1
MSCSettings,1698939782000000000,ImdStatus,1
MSCSettings,1698939827000000000,isBrakeArray,x2222222222200000
MSCSettings,1698939828000000000,isInitActivated,false
MSCSettings,1698939831000000000,isNormalOPActivated,true
MSCSettings,1698939835000000000,turbineCount,16
MSCSettings,1698939837000000000,turbineSchema,x1111111111111111
MSCSettings,1698939861000000000,StormBlockerReleaseWindSpeed,14
MSCSettings,1698939862000000000,StormBlockerTimePeriod,60000
MSCSettings,1698939883000000000,VPNstate,true
MSCSettings,1698939887000000000,isBrakeArray,x2222222222222222
MSCSettings,1698940367000000000,isBrakeArray,x2222222122222222
MSCSettings,1698940386000000000,userStopSchema,13/13/13/13/13/13/13/2/13/13/13/13/13/2/13/13
MSCSettings,1698940427000000000,isBrakeArray,x2222222222222122
MSCSettings,1698940431000000000,isNormalOPActivated,false
MSCSettings,1698940446000000000,userStopSchema,13/13/13/13/13/13/13/12/13/13/13/13/13/12/13/13
MSCSettings,1698940487000000000,isBrakeArray,x2222222222222222
MSCSettings,1698940491000000000,isNormalOPActivated,true
MSCSettings,1698941683000000000,VPNstate,false
MSCSettings,1698978768000000000,isBrakeArray,x1111111111111111
MSCSettings,1698980208000000000,isBrakeArray,x2211111111111111
MSCSettings,1698980268000000000,isBrakeArray,x2222222222222222
MSCSettings,1698996408000000000,isBrakeArray,x1111111111111111
MSCSettings,1698996524000000000,VPNstate,true
MSCSettings,1698998268000000000,isBrakeArray,x2222222111111111
MSCSettings,1698998324000000000,VPNstate,false
MSCSettings,1698998328000000000,isBrakeArray,x2222222222222222
MSCSettings,1699000968000000000,isBrakeArray,x1111111111111111
MSCSettings,1699002168000000000,isBrakeArray,x2222222222222222
MSCSettings,1699002948000000000,isBrakeArray,x1111111111111111
MSCSettings,1699005288000000000,isBrakeArray,x2222222222222222
MSCSettings,1699010028000000000,isBrakeArray,x1111111111111111
MSCSettings,1699015368000000000,isBrakeArray,x2222222222222222
MSCSettings,1699018368000000000,isBrakeArray,x1111111111111111
MSCSettings,1699020164000000000,VPNstate,true
MSCSettings,1699021964000000000,VPNstate,false
MSCSettings,1699032948000000000,isBrakeArray,x2222222111111111
MSCSettings,1699033008000000000,isBrakeArray,x2222222222222222
MSCSettings,1699089432000000000,userStopSchema,13/13/13/13/13/13/13/12/13/13/13/13/2/12/2/13
MSCSettings,1699089477000000000,isNormalOPActivated,false
MSCSettings,1699089492000000000,userStopSchema,13/13/13/13/13/13/13/12/13/13/13/13/12/12/12/13
MSCSettings,1699089537000000000,isNormalOPActivated,true
MSCSettings,1699089567000000000,StormBlockerReleaseWindSpeed,13
MSCSettings,1699210025000000000,isBrakeArray,x2222221222122222
MSCSettings,1699210044000000000,userStopSchema,13/13/13/13/13/13/12/12/13/13/2/13/12/12/12/13
MSCSettings,1699210085000000000,isBrakeArray,x2222222222222222
MSCSettings,1699210104000000000,userStopSchema,13/13/13/13/13/13/12/12/13/13/12/13/12/12/12/13
MSCSettings,1699210145000000000,isBrakeArray,x222222222222222
MSCSettings,1699210205000000000,isBrakeArray,x2222222222222222
MSCSettings,1699216626000000000,isBrakeArray,x22222222222222
MSCSettings,1699216686000000000,isBrakeArray,x2222222222222222
MSCSettings,1699217346000000000,isBrakeArray,x22222222222
