name,time,windspeed_ZMW
windgeber_ZMW,1698745980000000000,9.6
windgeber_ZMW,1698746580000000000,9.9
windgeber_ZMW,1698747180000000000,9.1
windgeber_ZMW,1698747780000000000,9
windgeber_ZMW,1698748380000000000,9.1
windgeber_ZMW,1698748980000000000,9.7
windgeber_ZMW,1698749580000000000,10
windgeber_ZMW,1698750180000000000,10.9
windgeber_ZMW,1698750780000000000,10.5
windgeber_ZMW,1698751380000000000,10.4
windgeber_ZMW,1698751980000000000,11.2
windgeber_ZMW,1698752580000000000,10.1
windgeber_ZMW,1698753180000000000,9.8
windgeber_ZMW,1698753780000000000,9.2
windgeber_ZMW,1698754380000000000,8
windgeber_ZMW,1698754980000000000,8.3
windgeber_ZMW,1698755580000000000,10.3
windgeber_ZMW,1698756180000000000,10.4
windgeber_ZMW,1698756780000000000,11.4
windgeber_ZMW,1698757380000000000,9.6
windgeber_ZMW,1698757980000000000,9.3
windgeber_ZMW,1698758580000000000,10.8
windgeber_ZMW,1698759180000000000,10.3
windgeber_ZMW,1698759780000000000,11.5
windgeber_ZMW,1698760380000000000,9
windgeber_ZMW,1698760980000000000,9.5
windgeber_ZMW,1698761580000000000,8.6
windgeber_ZMW,1698762180000000000,11.8
windgeber_ZMW,1698762780000000000,8.9
windgeber_ZMW,1698763380000000000,8.5
windgeber_ZMW,1698763980000000000,8.7
windgeber_ZMW,1698764581000000000,8.5
windgeber_ZMW,1698765180000000000,8
windgeber_ZMW,1698765780000000000,6.8
windgeber_ZMW,1698766380000000000,7.7
windgeber_ZMW,1698766980000000000,8.5
windgeber_ZMW,1698767580000000000,7.5
windgeber_ZMW,1698768180000000000,6.8
windgeber_ZMW,1698768780000000000,7.7
windgeber_ZMW,1698769380000000000,7.2
windgeber_ZMW,1698769980000000000,6.7
windgeber_ZMW,1698770581000000000,6
windgeber_ZMW,1698771181000000000,5.7
windgeber_ZMW,1698771781000000000,5.9
windgeber_ZMW,1698772381000000000,5.5
windgeber_ZMW,1698772980000000000,5.5
windgeber_ZMW,1698773581000000000,5.1
windgeber_ZMW,1698774181000000000,5.6
windgeber_ZMW,1698774781000000000,6
windgeber_ZMW,1698775381000000000,5.3
windgeber_ZMW,1698775981000000000,5.8
windgeber_ZMW,1698776580000000000,6
windgeber_ZMW,1698777181000000000,6.5
windgeber_ZMW,1698777780000000000,5.9
windgeber_ZMW,1698778381000000000,5.3
windgeber_ZMW,1698778981000000000,5.4
windgeber_ZMW,1698779580000000000,5.8
windgeber_ZMW,1698780181000000000,6.3
windgeber_ZMW,1698780781000000000,7.2
windgeber_ZMW,1698781381000000000,8
windgeber_ZMW,1698781981000000000,7.1
windgeber_ZMW,1698782581000000000,7.1
windgeber_ZMW,1698783181000000000,9
windgeber_ZMW,1698783781000000000,7
windgeber_ZMW,1698784381000000000,5.6
windgeber_ZMW,1698784981000000000,4.2
windgeber_ZMW,1698785581000000000,3.9
windgeber_ZMW,1698786181000000000,4
windgeber_ZMW,1698786781000000000,4.6
windgeber_ZMW,1698787381000000000,4
windgeber_ZMW,1698787981000000000,4.7
windgeber_ZMW,1698788581000000000,4.5
windgeber_ZMW,1698789181000000000,4.2
windgeber_ZMW,1698789781000000000,3.8
windgeber_ZMW,1698790381000000000,3.3
windgeber_ZMW,1698790981000000000,2.9
windgeber_ZMW,1698791581000000000,4.1
windgeber_ZMW,1698792181000000000,4.7
windgeber_ZMW,1698792781000000000,4.6
windgeber_ZMW,1698793381000000000,5
windgeber_ZMW,1698793981000000000,5.4
windgeber_ZMW,1698794581000000000,5.4
windgeber_ZMW,1698795181000000000,4.5
windgeber_ZMW,1698795781000000000,4.4
windgeber_ZMW,1698796381000000000,4
windgeber_ZMW,1698796981000000000,4.1
windgeber_ZMW,1698797581000000000,3.7
windgeber_ZMW,1698798181000000000,3.7
windgeber_ZMW,1698798781000000000,3.3
windgeber_ZMW,1698799381000000000,3
windgeber_ZMW,1698799981000000000,3
windgeber_ZMW,1698800581000000000,2.9
windgeber_ZMW,1698801181000000000,3
windgeber_ZMW,1698801781000000000,2.8
windgeber_ZMW,1698802381000000000,3.2
windgeber_ZMW,1698802981000000000,3.1
windgeber_ZMW,1698803581000000000,2.5
windgeber_ZMW,1698804181000000000,2.5
windgeber_ZMW,1698804781000000000,2.8
windgeber_ZMW,1698805381000000000,2.3
windgeber_ZMW,1698805981000000000,2.2
windgeber_ZMW,1698806581000000000,2.2
windgeber_ZMW,1698807181000000000,1.9
windgeber_ZMW,1698807781000000000,1.7
windgeber_ZMW,1698808381000000000,1.5
windgeber_ZMW,1698808981000000000,1.6
windgeber_ZMW,1698809581000000000,1.9
windgeber_ZMW,1698810181000000000,1.6
